text,lat,lng,location,"('durch', '5:45')","('haha', '0:50')","('tarde', '-50:-25')","('going', '-5:50')","('afro', '-100:25')","('tout', '0:45')","('para', '-60:-35')","('fait', '0:45')","('segue', '-80:25')","('vous', '5:40')","('watching', '-75:40')","('estar', '-5:40')","('menos', '-5:35')","('longer', '-85:35')","('been', '-5:50')","('sana', '25:40')","('beni', '25:40')","('como', '-10:35')","('yani', '25:35')","('pero', '-5:35')","('vous', '0:50')","('trying', '-75:40')","('leman', '30:35')","('medo', '-45:-20')","('beri', '25:35')","('pourquoi', '0:45')","('wanna', '-85:30')","('jajaja', '-75:5')","('haha', '-80:40')","('sorun', '25:35')","('wanna', '-100:30')","('cavaleiros', '-35:-10')","('daha', '25:40')","('olan', '25:40')","('quiero', '-5:40')","('imagined', '-105:20')","('aqui', '-50:-25')","('fleep', '-70:-35')","('gonna', '-75:40')","('veut', '0:45')","('puta', '-60:-35')","('mundo', '-5:35')","('mais', '0:45')","('rahat', '25:40')","('were', '-75:40')","('hours', '-100:30')","('jaja', '-10:35')","('fuck', '-85:30')"
sin sentido.,37.4007073,-5.9735876,-5:35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 yr old Dontate is playing basketball w/former #NBA player Steve Stipanovich thanks to @ksdknews,38.69505515,-90.45678903,-90:35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I'm at Doğan Medya Center (İstanbul, Türkiye) w/ 5 others http://t.co/Q1AvrfRD",41.06071514,28.8460207,25:40,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@davis_jfd I'm countin down til November second !!,35.389139,-86.82139155,-90:35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Liline_Chistel t'as #rt ma photo.. tu trouves comment ? :3 #ouillex),43.7283429,7.2493552,5:40,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khana khaiyo bharkhar.,27.7424051,84.4562689,80:25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#PalcoVipCristal que lindo seria esta ahi escuchandi a evanescence gracias a @cristalenvivo que mjor,-33.4398118,-70.6526146,-70:-35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"#أخبار #اخبار المشهد: ""الحرية والعدالة"" تنشر مقالًا يطالب مرسي بالاعتذار رسميًّا للشعب عن خطاب بيريز http://t.co/MVSBf95m",30.04444999,31.23560621,30:30,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lines done on Emelie. @ Bob Horrors http://t.co/5BHLFVVd,59.31346893,18.07665253,15:55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm at Özdamar Apartmanı (Bursa) http://t.co/Reuq0thv,40.20465961,28.98197314,25:40,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
